"Time","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010","","T0010",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/10/2019,        64.0,      1,        64.0,      1,        12.9,      1,         4.5,      1,        23.9,      1,        87.1,    145,          30,    145,         0.6,    145,       957.8,      1,    241859.3,    145
00:00:00 01/11/2019,       480.6,      1,       480.6,      1,         6.0,      1,        -1.4,      1,        14.2,      1,        96.8,    145,         339,    145,         0.4,    145,       948.8,      1,     77601.1,    145
00:00:00 01/12/2019,        76.0,      1,        76.0,      1,         2.2,      1,        -4.0,      1,        11.4,    140,        88.6,    145,         331,    145,         0.6,    145,       956.8,      1,     65899.2,    145
00:00:00 01/01/2020,         2.4,      1,         2.4,      1,         1.6,      1,        -4.3,      1,        12.9,      1,        75.5,    145,         345,    145,         0.4,    145,       965.6,      1,    115736.1,    145
00:00:00 01/02/2020,         5.8,      1,         7.3,      1,         4.8,      1,        -3.1,    140,        16.9,      1,        64.6,    145,         334,    145,         0.9,    145,       958.7,      1,    205780.0,      1
00:00:00 01/03/2020,        91.8,      1,        90.3,      1,         6.7,      1,        -2.7,      1,        21.8,      1,        73.9,    145,          26,    145,         0.8,    145,       956.1,      1,    329401.9,      1
00:00:00 01/04/2020,        38.4,      1,        29.6,      1,        12.9,      1,        -1.7,      1,        26.8,      1,        57.5,    145,          57,    145,         0.8,    145,       956.7,      1,    583698.9,      1
00:00:00 01/05/2020,        83.6,      1,        92.4,      1,        16.1,      1,         5.6,      1,        28.3,      1,        70.0,    145,          67,    145,         0.9,    145,       956.6,      1,    659634.6,      1
00:00:00 01/06/2020,       129.8,      1,       129.8,      1,        18.8,      1,         9.4,      1,        32.7,      1,        74.4,    145,          80,    145,         1.1,    145,       952.6,      1,    664404.1,      1
00:00:00 01/07/2020,        99.0,      1,        99.0,      1,        21.5,      1,        11.6,      1,        36.8,      1,        72.5,    145,          71,    145,         0.8,    145,       956.3,      1,    791433.8,      1
00:00:00 01/08/2020,       268.6,      1,       268.2,      1,        21.2,      1,        12.1,      1,        36.8,      1,        77.7,    145,          54,    145,         0.7,    145,       954.4,      1,    604465.4,      1
