"Time","T0009","","T0009","","T0009","","T0009","","T0009",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/02/2022,        48.2,      1,        48.2,      1,         3.6,      1,        -4.0,      1,        15.6,      1
00:00:00 01/03/2022,         4.8,      1,         8.6,      1,         5.3,      1,        -3.7,      1,        19.0,      1
00:00:00 01/04/2022,        56.0,      1,        52.1,      1,         8.7,      1,        -0.8,      1,        22.2,      1
00:00:00 01/05/2022,        78.8,      1,        78.8,      1,        15.3,      1,         5.7,      1,        26.1,      1
00:00:00 01/06/2022,        58.4,      1,        58.4,      1,        19.9,      1,        10.1,      1,        29.3,      1
00:00:00 01/07/2022,        90.0,      1,        90.0,      1,        22.3,      1,        13.7,      1,        33.1,      1
00:00:00 01/08/2022,       121.8,      1,       121.3,      1,        20.1,      1,        10.4,      1,        31.4,      1
00:00:00 01/09/2022,        87.0,      1,        85.3,      1,        14.6,      1,         5.3,      1,        25.8,      1
00:00:00 01/10/2022,        66.4,      1,        68.6,      1,        13.3,      1,         8.5,      1,        22.1,      1
00:00:00 01/11/2022,        96.0,      1,        96.0,      1,         6.2,      1,        -0.5,      1,        15.2,      1
00:00:00 01/12/2022,        99.4,      1,        99.4,      1,         1.5,      1,        -7.8,      1,         9.8,      1
00:00:00 01/01/2023,        54.2,      1,        54.2,      1,         2.0,      1,        -4.9,      1,        11.5,      1
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         3.8,      1,        -7.4,      1,        15.0,      1
00:00:00 01/03/2023,        21.8,      1,        21.7,      1,         7.2,      1,        -1.4,      1,        18.0,      1
00:00:00 01/04/2023,        68.4,      1,        68.5,      1,         8.7,      1,        -0.5,      1,        19.3,      1
00:00:00 01/05/2023,       225.8,      1,       225.8,      1,        13.0,      1,         6.4,      1,        24.9,      1
00:00:00 01/06/2023,        66.4,      1,        66.4,      1,        18.4,      1,        11.1,      1,        29.6,      1
00:00:00 01/07/2023,       214.0,      1,       220.7,      1,        19.8,      1,        11.5,      1,        30.8,      1
00:00:00 01/08/2023,       102.6,      1,        95.8,      1,        20.3,      1,        10.3,      1,        32.9,      1
00:00:00 01/09/2023,        78.0,      1,        78.0,      1,        17.4,      1,         7.9,      1,        26.5,      1
00:00:00 01/10/2023,       234.4,      1,       234.2,      1,        13.3,      1,         3.1,      1,        25.8,      1
00:00:00 01/11/2023,       131.0,      1,       142.9,      1,         4.4,      1,        -2.4,      1,        15.3,      1
00:00:00 01/12/2023,        91.4,      1,        74.0,      1,         3.3,      1,        -5.0,      1,        15.7,      1
00:00:00 01/01/2024,        83.4,      1,        89.0,      1,         1.9,      1,        -6.0,      1,        15.3,      1
00:00:00 01/02/2024,       212.4,      1,       214.4,      1,         6.0,      1,        -0.9,      1,        17.2,      1
00:00:00 01/03/2024,       200.4,      1,       202.6,      1,         7.1,      1,         0.2,      1,        17.9,      1
00:00:00 01/04/2024,        71.6,      1,        67.4,      1,        10.2,      1,         0.0,      1,        26.1,      1
00:00:00 01/05/2024,       422.8,      1,       419.8,      1,        12.6,      1,         4.8,      1,        23.1,    140
00:00:00 01/06/2024,       216.0,      1,       219.0,      1,        17.4,      1,         6.9,      1,        29.0,      1
00:00:00 01/07/2024,       147.6,      1,       147.6,      1,        20.9,      1,        11.2,      1,        30.4,      1
00:00:00 01/08/2024,        41.8,      1,        41.8,      1,        21.4,      1,        14.3,      1,        30.3,      1
00:00:00 01/09/2024,       187.2,      1,       187.2,      1,        14.7,      1,         6.6,      1,        27.7,      1
00:00:00 01/10/2024,       327.0,      1,       327.0,      1,        11.5,      1,         5.7,      1,        19.4,      1
00:00:00 01/11/2024,         9.0,      1,         9.0,      1,         5.3,      1,        -3.9,      1,        18.0,      1
00:00:00 01/12/2024,        48.8,      1,        48.8,      1,         2.4,      1,        -3.2,      1,        11.4,      1
00:00:00 01/01/2025,        77.8,      1,        77.5,      1,         2.2,      1,        -4.9,      1,        11.8,      1
00:00:00 01/02/2025,        38.6,      1,        38.9,      1,         3.1,      1,        -3.4,      1,        12.0,      1
00:00:00 01/03/2025,       111.0,    145,"",    255,         6.9,    145,"",    255,"",    255
00:00:00 01/04/2025,       153.8,    145,"",    255,        10.7,    145,"",    255,"",    255
00:00:00 01/05/2025,       116.6,    145,"",    255,        13.5,    145,"",    255,"",    255
00:00:00 01/06/2025,        25.0,    145,"",    255,        21.2,    145,"",    255,"",    255
00:00:00 01/07/2025,       169.0,    145,"",    255,        18.8,    145,"",    255,"",    255
00:00:00 01/08/2025,       173.6,    145,"",    255,        19.5,    145,"",    255,"",    255
00:00:00 01/09/2025,       192.8,    145,"",    255,        15.1,    145,"",    255,"",    255
00:00:00 01/10/2025,        44.8,    145,"",    255,         9.8,    145,"",    255,"",    255
00:00:00 01/11/2025,       103.8,    145,"",    255,         4.6,    145,"",    255,"",    255
00:00:00 01/12/2025,        32.4,    145,"",    255,         3.6,    145,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255

