"Time","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065","","T0065",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual"
00:00:00 01/06/2022,        97.6,      1,        97.6,      1,         9.1,      1,         0.6,      1,        18.3,      1,"",    255,         282,      1,         2.0,      1
00:00:00 01/07/2022,        63.8,      1,        63.9,      1,        10.8,      1,         3.1,      1,        21.3,    140,"",    255,         282,      1,         2.0,      1
00:00:00 01/08/2022,        76.2,      1,        75.1,      1,         9.5,      1,         2.1,      1,        19.3,      1,"",    255,         270,      1,         1.4,      1
00:00:00 01/09/2022,        50.8,      1,        51.3,      1,         3.7,      1,        -4.1,      1,        14.8,      1,"",    255,         272,      1,         1.8,      1
00:00:00 01/10/2022,        81.2,      1,        81.8,      1,         4.8,      1,        -1.0,      1,        12.3,      1,"",    255,         285,      1,         1.7,      1
00:00:00 01/11/2022,        22.4,      1,        22.4,      1,        -2.3,      1,        -9.0,      1,        10.0,    140,"",    255,          11,      1,         1.9,      1
00:00:00 01/12/2022,        31.0,      1,        31.0,      1,        -4.6,      1,       -18.7,    140,         6.5,    140,"",    255,          63,      1,         1.8,      1
00:00:00 01/01/2023,        23.2,    140,        23.0,    140,        -6.6,      1,       -18.7,    140,         4.3,    140,"",    255,           5,      1,         3.1,      1
00:00:00 01/02/2023,        15.8,    140,        16.0,    140,        -4.6,      1,       -18.2,    140,         7.9,      1,"",    255,         358,      1,         2.8,      1
00:00:00 01/03/2023,        26.0,      1,        23.9,      1,        -3.7,      1,       -13.9,    140,         8.8,    140,"",    255,         283,      1,         2.4,      1
00:00:00 01/04/2023,        26.2,      1,        28.4,      1,        -3.4,      1,       -12.3,      1,         7.3,    140,"",    255,          60,    140,         2.5,      1
