"Time","T0066","","T0066","","T0066","","T0066","","T0066","","T0066",""
"and","10.00","","400.00","","430.00","","500.00","","515.00","","550.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual"
00:00:00 01/08/2023,       158.0,      1,         6.7,      1,        76.4,    145,          14,    140,         2.2,    145,       721.3,    145
00:00:00 01/09/2023,        68.2,      1,         6.3,      1,        70.8,    145,          11,    140,         1.1,    145,       723.2,    145
00:00:00 01/10/2023,        65.6,    140,         1.9,      1,        70.0,    145,          13,    140,         2.1,    145,       717.0,    145
00:00:00 01/11/2023,        23.8,    140,        -7.2,      1,        72.6,    145,          17,    140,         4.4,    145,       706.7,    145
00:00:00 01/12/2023,         1.0,    140,        -5.6,      1,        63.7,    145,          12,    140,         3.5,    145,       711.7,    145
00:00:00 01/01/2024,         8.0,    140,        -6.8,      1,        56.2,    145,          13,    140,         3.2,    145,       712.1,    145
00:00:00 01/02/2024,        36.6,    140,        -5.5,      1,        72.1,    145,          12,    140,         2.0,    145,       711.8,    145
00:00:00 01/03/2024,        45.0,    140,        -6.5,      1,        78.6,    145,          12,    140,         1.8,    145,       708.5,    145
00:00:00 01/04/2024,        26.4,    140,        -4.4,      1,        68.0,    145,          12,    140,         2.0,    145,       713.6,    145
00:00:00 01/05/2024,       160.8,    140,        -1.2,      1,        88.8,    145,           7,    140,         0.6,    145,       714.5,    145
00:00:00 01/06/2024,       144.0,    140,         3.4,      1,        83.9,    145,          10,    140,         1.1,    145,       719.0,    145
00:00:00 01/07/2024,        71.8,      1,         7.2,      1,        81.2,    145,           8,    140,         0.6,    145,       722.1,    145
00:00:00 01/08/2024,        54.6,      1,         8.5,      1,        79.1,    145,           7,    145,         0.4,    145,       723.5,    145
00:00:00 01/09/2024,       148.2,      1,         0.8,      1,        88.4,    145,         328,    145,         3.4,    145,       717.1,    145
00:00:00 01/10/2024,       147.8,      1,         0.3,      1,        85.4,    145,         255,    145,         2.2,    145,       718.8,    145
00:00:00 01/11/2024,         0.6,    140,        -3.2,      1,        51.3,    145,         264,    145,         2.4,    145,       717.0,    145
00:00:00 01/12/2024,         6.4,    140,        -6.9,      1,        57.3,    145,          63,    145,         3.8,    145,       714.7,    145
00:00:00 01/01/2025,        15.6,    140,        -8.0,      1,        67.6,    145,         318,    145,         3.3,    145,       711.7,    145
00:00:00 01/02/2025,         7.4,    140,        -7.0,      1,        59.6,    145,         164,    145,         2.2,    145,       714.9,    145
00:00:00 01/03/2025,        33.0,    145,        -6.6,    145,        67.2,    145,         156,    145,         2.5,    145,       711.0,    145
00:00:00 01/04/2025,        61.6,    145,        -3.2,    145,        73.3,    145,          61,    145,         2.7,    145,       714.3,    145
00:00:00 01/05/2025,        93.2,    145,        -1.0,    145,        76.7,    145,         342,    145,         2.5,    145,       715.4,    145
00:00:00 01/06/2025,        81.6,    145,         7.0,    145,        69.1,    145,         286,    145,         2.5,    145,       724.5,    145
00:00:00 01/07/2025,       107.4,    145,         4.6,    145,        79.0,    145,         320,    145,         3.0,    145,       719.8,    145
00:00:00 01/08/2025,       121.0,    145,         6.3,    145,        76.7,    145,         318,    145,         2.3,    145,       722.0,    145
00:00:00 01/09/2025,        82.0,    145,         2.8,    145,        74.6,    145,         269,    145,         2.2,    145,       720.4,    145
00:00:00 01/10/2025,         6.6,    145,        -1.6,    145,        68.0,    145,         316,    145,         2.9,    145,       715.7,    145
00:00:00 01/11/2025,        10.0,    145,        -5.2,    145,        61.3,    145,         202,    145,         2.5,    145,       711.4,    145
00:00:00 01/12/2025,        13.6,    145,        -5.1,    145,        59.3,    145,         169,    145,         2.0,    145,       714.5,    145
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255

