"Time","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071","","T0071",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/03/2019,        24.4,      1,        24.4,      1,         4.4,      1,        -4.5,      1,        19.7,      1,        64.0,    145,         206,    145,         1.7,    145,       908.1,      1,    489287.8,      1
00:00:00 01/04/2019,       172.4,      1,       172.4,      1,         7.5,      1,         0.0,      1,        20.3,      1,        78.1,    145,         220,    145,         1.4,    145,       903.8,      1,    410844.5,      1
00:00:00 01/05/2019,       138.8,      1,       138.8,      1,         9.6,      1,        -1.8,      1,        24.7,      1,        78.0,    145,          62,    145,         1.5,    145,       903.1,      1,    504373.8,      1
00:00:00 01/06/2019,        36.4,      1,        36.4,      1,        18.9,      1,         7.0,      1,        37.6,    140,        67.2,    145,         256,    145,         1.8,    145,       908.6,      1,    729682.8,      1
00:00:00 01/07/2019,        50.6,      1,        50.0,      1,        18.7,      1,         7.1,      1,        31.8,    140,        72.6,    145,"",    151,         1.7,    145,       906.7,      1,    635032.5,      1
00:00:00 01/08/2019,        63.2,      1,        63.4,      1,        18.0,      1,         8.4,      1,        30.9,      1,        79.5,    145,"",    151,         1.6,    145,       909.4,      1,    545234.6,      1
00:00:00 01/09/2019,        87.4,      1,        87.8,      1,        13.6,      1,        -0.7,    140,        25.6,      1,        82.2,    145,         219,    145,         1.3,    145,       909.7,      1,    427792.2,      1
00:00:00 01/10/2019,        77.8,      1,        77.8,      1,         9.6,      1,         0.8,      1,        20.5,      1,        90.7,    145,         202,    145,         1.0,    145,       908.7,      1,    277062.6,      1
00:00:00 01/11/2019,       334.8,      1,       334.8,      1,         1.5,      1,        -8.0,      1,        11.7,      1,        98.8,    145,         225,    145,         0.7,    145,       899.2,      1,     68934.9,      1
00:00:00 01/12/2019,        71.2,      1,        71.2,      1,        -1.7,      1,        -8.8,      1,         7.1,      1,        93.3,    145,         229,    145,         0.8,    145,       906.5,      1,     36385.4,      1
00:00:00 01/01/2020,         4.4,      1,         4.4,      1,        -2.3,      1,        -9.5,      1,         7.4,      1,        85.5,    145,         232,    145,         0.9,    145,       914.9,      1,     67756.8,      1
00:00:00 01/02/2020,         3.6,      1,         5.5,      1,         1.5,      1,        -6.2,      1,        13.9,      1,        69.3,    145,         211,    145,         1.3,    145,       908.3,      1,    244673.2,      1
00:00:00 01/03/2020,       100.8,      1,        98.9,      1,         2.9,      1,        -6.8,      1,        16.7,      1,        81.4,    145,         201,    145,         1.1,    145,       905.8,      1,    387900.5,      1
00:00:00 01/04/2020,        22.8,      1,        17.0,      1,         9.6,      1,        -5.1,      1,        22.7,      1,        63.4,    145,         204,    145,         1.5,    145,       907.1,      1,    602993.5,      1
00:00:00 01/05/2020,        75.4,      1,        81.2,      1,        13.0,      1,         1.8,      1,        23.6,      1,        70.3,    145,         111,    145,         1.6,    145,       907.5,      1,    673691.4,      1
00:00:00 01/06/2020,        96.4,      1,        96.4,      1,        15.5,      1,         6.1,      1,        27.8,      1,        75.9,    145,         105,    145,         1.5,    145,       904.1,      1,    619842.8,      1
00:00:00 01/07/2020,        67.0,      1,        65.6,      1,        18.3,      1,         7.4,      1,        32.1,      1,        73.6,    145,         148,    145,         1.7,    145,       908.1,      1,    718718.8,      1
00:00:00 01/08/2020,       162.6,    140,       163.8,    140,        17.7,      1,         7.2,      1,        32.1,      1,        80.6,    145,         206,    145,         1.3,    145,       906.6,      1,    541899.1,      1
00:00:00 01/09/2020,        72.0,    140,        72.1,    140,        13.8,      1,        -0.1,      1,        25.8,      1,        85.0,    145,         203,    145,         1.1,    145,       908.2,      1,    410452.7,      1
00:00:00 01/10/2020,       251.6,      1,       251.6,      1,         6.6,      1,        -2.1,      1,        16.5,    140,        91.0,    145,         210,    145,         1.0,    145,       905.7,      1,    275136.2,      1
00:00:00 01/11/2020,         8.2,      1,         8.2,      1,         2.2,      1,        -7.0,      1,        14.7,      1,        91.0,    145,         222,    145,         0.8,    145,       914.5,      1,    101407.0,      1
00:00:00 01/12/2020,       245.0,      1,       245.0,      1,        -2.5,      1,       -12.1,      1,         4.1,      1,        98.2,    145,         234,    145,         0.7,    145,       901.5,      1,     33233.9,      1
00:00:00 01/01/2021,        83.0,      1,        83.0,      1,        -5.0,      1,       -15.4,      1,         7.1,    140,        93.6,    145,         225,    145,         0.8,    145,       901.1,      1,     52898.8,      1
00:00:00 01/02/2021,        46.0,      1,        46.0,      1,        -0.6,      1,       -13.6,      1,        12.4,      1,        87.1,    145,         217,    145,         0.9,    145,       909.4,      1,    237113.2,      1
00:00:00 01/03/2021,         0.8,      1,         0.8,      1,         2.4,      1,        -7.3,      1,        18.7,    140,        67.0,    145,         210,    145,         1.3,    145,       909.3,      1,    487178.7,      1
00:00:00 01/04/2021,        54.4,      1,        54.4,      1,         5.9,      1,        -6.5,      1,        21.7,      1,        65.5,    145,         178,    145,         1.4,    145,       905.9,      1,    537409.6,      1
00:00:00 01/05/2021,        79.6,      1,        79.6,      1,        10.5,      1,         0.0,      1,        21.7,      1,        69.3,    145,         206,    145,         1.6,    145,       904.0,      1,    635031.3,      1
00:00:00 01/06/2021,        29.8,      1,        29.4,      1,        18.1,      1,         6.5,      1,        30.7,      1,        67.4,    145,         242,    145,         1.5,    145,       908.7,      1,    688962.8,      1
00:00:00 01/07/2021,       128.4,      1,       128.8,      1,        17.8,      1,         7.9,      1,        28.4,      1,        75.1,    145,         187,    145,         1.5,    145,       906.8,      1,    633345.7,      1
00:00:00 01/08/2021,        99.4,      1,        98.9,      1,        16.5,      1,         6.5,      1,        31.8,      1,        77.1,    145,         194,    145,         1.4,    145,       907.2,      1,    601568.9,      1
00:00:00 01/09/2021,        35.8,      1,        36.2,      1,        14.5,      1,         4.1,      1,        25.2,      1,        76.8,    145,         203,    145,         1.2,    145,       910.5,      1,    471060.3,      1
00:00:00 01/10/2021,        61.2,      1,        61.2,      1,         7.0,      1,        -1.6,      1,        19.0,      1,        81.4,    145,         209,    145,         0.9,    145,       911.0,      1,    299837.1,      1
00:00:00 01/11/2021,       133.4,      1,       133.4,      1,         2.1,      1,        -9.5,      1,        12.2,      1,        92.6,    145,         221,    145,         0.8,    145,       905.7,      1,     91396.1,      1
00:00:00 01/12/2021,        18.0,      1,        18.0,      1,        -2.6,      1,       -10.5,      1,         8.2,    140,        88.5,    145,         232,    145,         0.9,    145,       905.5,      1,     27591.1,      1
00:00:00 01/01/2022,        14.2,      1,        14.2,      1,        -2.2,      1,       -10.3,      1,        14.2,    140,        75.4,    145,         227,    145,         1.0,    145,       911.7,      1,     65595.3,      1
00:00:00 01/02/2022,        20.6,      1,        20.6,      1,         0.3,      1,        -7.9,      1,        11.7,      1,        67.0,    145,         212,    145,         1.2,    145,       909.0,      1,    243983.7,      1
00:00:00 01/03/2022,        10.2,      1,        14.6,      1,         3.3,      1,        -6.9,      1,        18.2,      1,        62.3,    145,         147,    145,         1.4,    145,       912.2,      1,    450815.6,    145
00:00:00 01/04/2022,        70.0,      1,        64.2,      1,         7.5,      1,        -4.3,      1,        21.4,      1,        68.0,    145,          99,    145,         1.6,    145,       902.5,      1,    541943.5,    145
00:00:00 01/05/2022,        61.6,      1,        62.9,      1,        14.4,      1,         3.5,      1,        28.0,      1,        74.3,    145,          19,    145,         1.5,    145,       908.5,      1,    609286.8,    145
00:00:00 01/06/2022,       117.2,      1,       117.1,      1,        18.1,      1,         6.2,      1,        31.5,      1,        72.0,    145,         200,    145,         1.5,    145,       908.1,      1,    690626.4,    145
00:00:00 01/07/2022,        71.2,      1,        71.3,      1,        20.5,      1,         9.0,      1,        33.6,      1,        64.7,    145,         227,    145,         1.6,    145,       910.2,      1,    755451.2,    145
00:00:00 01/08/2022,        72.8,      1,        72.2,      1,        18.8,      1,         8.3,      1,        31.5,      1,        71.1,    145,         220,    145,         1.5,    145,       907.7,      1,    642832.3,    145
00:00:00 01/09/2022,        43.4,      1,        43.4,      1,        13.0,      1,         1.4,      1,        26.2,      1,        75.4,    145,         151,    145,         1.2,    145,       905.1,      1,    449006.4,    145
00:00:00 01/10/2022,        65.4,      1,        65.9,      1,        11.0,      1,         3.3,      1,        20.9,      1,        81.9,    145,         224,    145,         0.9,    145,       913.7,      1,    291462.9,    145
00:00:00 01/11/2022,        50.6,      1,        50.6,      1,         2.7,      1,        -4.9,      1,        13.1,      1,        87.3,    145,         227,    145,         0.8,    145,       907.1,      1,    101093.0,    145
00:00:00 01/12/2022,        52.0,      1,        52.0,      1,        -1.8,      1,       -13.0,      1,         6.4,      1,        93.5,    145,         237,    145,         0.7,    145,       906.4,      1,     48227.6,    145
00:00:00 01/01/2023,        21.8,      1,        21.8,      1,        -2.1,      1,       -10.9,      1,        10.0,      1,        86.4,    145,         231,    145,         0.8,    145,       906.6,      1,     55747.7,    145
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         0.4,      1,       -11.0,      1,        12.7,      1,        71.4,    145,         211,    145,         1.1,    145,       913.4,      1,    241747.1,    145
00:00:00 01/03/2023,        14.8,      1,        14.0,      1,         5.3,      1,        -4.3,      1,        17.5,      1,        66.4,    145,         206,    145,         1.5,    145,       902.6,      1,    422828.1,    145
00:00:00 01/04/2023,        38.0,      1,        38.9,      1,         7.4,      1,        -4.9,      1,        20.9,      1,        63.8,    145,         161,    145,         1.6,    145,       903.3,      1,    535260.4,    145
00:00:00 01/05/2023,       131.2,      1,       131.1,      1,        12.5,      1,         3.7,      1,        25.3,    140,        78.9,    145,          11,    145,         1.1,    145,       906.9,      1,    517649.1,    145
00:00:00 01/06/2023,        65.2,      1,        65.6,      1,        17.2,      1,         7.2,      1,        29.6,      1,        72.7,    145,         360,    145,         1.4,    145,       907.3,      1,    650275.9,    145
00:00:00 01/07/2023,       113.2,      1,       112.8,      1,        18.6,      1,         6.3,      1,        32.4,      1,        74.1,    145,          18,    145,         1.1,    145,       907.7,      1,    699771.6,    145
00:00:00 01/08/2023,       166.6,      1,       166.6,      1,        18.5,      1,         6.1,      1,        32.6,      1,        72.2,    145,           9,    145,         0.4,    145,       907.0,      1,    561150.3,    145
00:00:00 01/09/2023,        89.0,      1,        89.0,      1,        15.6,      1,         4.5,      1,        26.5,      1,        81.2,    145,           8,    145,         0.3,    145,       910.9,      1,    463173.3,    145
00:00:00 01/10/2023,       212.8,      1,       212.7,      1,        10.6,      1,         0.1,      1,        23.2,      1,        85.5,    145,         358,    145,         0.2,    145,       906.6,      1,    279219.0,    145
00:00:00 01/11/2023,       105.6,      1,       105.0,      1,         1.3,      1,        -6.9,      1,        14.3,    140,        82.8,    145,         336,    145,         0.2,    145,       900.9,      1,    100090.7,    145
