"Time","T0027","","T0027","","T0027","","T0027","","T0027",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/12/2024,        33.0,      1,        33.0,      1,        -1.5,      1,        -7.2,      1,         6.0,      1
00:00:00 01/01/2025,       128.0,      1,       127.3,      1,        -1.2,      1,        -8.6,      1,         6.3,      1
00:00:00 01/02/2025,        51.2,      1,        51.8,      1,         0.5,      1,        -5.8,      1,        10.8,      1
00:00:00 01/03/2025,       146.6,    145,"",    255,         4.0,    145,"",    255,"",    255
00:00:00 01/04/2025,       287.2,    145,"",    255,         8.2,    145,"",    255,"",    255
00:00:00 01/05/2025,       243.8,    145,"",    255,        10.4,    145,"",    255,"",    255
00:00:00 01/06/2025,        69.6,    145,"",    255,        18.0,    145,"",    255,"",    255
00:00:00 01/07/2025,       194.2,    145,"",    255,        16.1,    145,"",    255,"",    255
00:00:00 01/08/2025,       164.2,    145,"",    255,        16.7,    145,"",    255,"",    255
00:00:00 01/09/2025,       155.4,    145,"",    255,        12.8,    145,"",    255,"",    255
00:00:00 01/10/2025,        55.2,    145,"",    255,         7.6,    145,"",    255,"",    255
00:00:00 01/11/2025,        93.4,    145,"",    255,         1.7,    145,"",    255,"",    255
00:00:00 01/12/2025,        13.2,    145,"",    255,         0.4,    145,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255

