"Time","T0024","","T0024","","T0024","","T0024","","T0024",""
00:00:00 01/02/2017,        91.2,      1,        88.9,      1,         0.6,      1,        -4.8,      1,        12.9,      1
00:00:00 01/03/2017,        45.6,      1,        48.4,      1,         4.9,      1,        -3.5,      1,        15.6,      1
00:00:00 01/04/2017,       147.0,      1,       147.0,      1,         5.7,      1,        -5.0,      1,        16.6,      1
00:00:00 01/05/2017,       116.6,      1,       116.6,      1,        10.1,      1,         0.1,      1,        21.4,      1
00:00:00 01/06/2017,       190.8,      1,       188.6,      1,        15.2,      1,         3.7,      1,        25.7,      1
00:00:00 01/07/2017,       160.6,      1,       162.8,      1,        15.8,      1,         5.7,      1,        26.0,      1
00:00:00 01/08/2017,        59.2,      1,        64.8,      1,        16.6,      1,         6.8,      1,        26.8,      1
00:00:00 01/09/2017,       229.8,      1,       223.7,      1,         9.3,      1,         1.8,      1,        17.5,      1
00:00:00 01/10/2017,        18.2,      1,        18.7,      1,         8.7,    140,        -0.6,      1,        21.9,    140
00:00:00 01/11/2017,       145.6,      1,       145.6,      1,         1.3,      1,        -8.7,      1,        12.3,      1
00:00:00 01/12/2017,       162.0,      1,       163.6,      1,        -1.9,      1,        -9.8,      1,         9.5,    140
00:00:00 01/01/2018,       133.8,      1,       132.2,      1,        -0.2,      1,        -6.1,      1,        10.5,      1
00:00:00 01/02/2018,        44.8,      1,        44.8,      1,        -3.6,      1,       -16.2,      1,         6.4,      1
00:00:00 01/03/2018,       155.6,      1,       153.3,      1,         0.3,      1,       -11.5,      1,         8.8,    140
00:00:00 01/04/2018,       136.4,      1,       138.6,      1,         8.2,      1,        -2.0,      1,        20.8,      1
00:00:00 01/05/2018,       215.8,      1,       215.8,      1,        10.7,      1,         1.2,      1,        20.9,      1
00:00:00 01/06/2018,       143.6,      1,       143.6,      1,        14.2,      1,         4.8,      1,        22.7,      1
00:00:00 01/07/2018,       131.4,      1,       131.4,      1,        15.9,      1,         9.3,    140,        26.2,      1
00:00:00 01/08/2018,       182.8,      1,       181.7,      1,        16.2,      1,         4.2,      1,        26.2,      1
00:00:00 01/09/2018,        64.8,      1,        67.9,      1,        13.0,      1,"",    151,        21.8,      1
00:00:00 01/10/2018,       664.4,      1,       672.4,      1,         9.0,      1,"",    151,        21.1,      1
00:00:00 01/11/2018,       133.0,      1,       123.0,      1,         3.8,      1,        -3.6,      1,        15.0,      1
00:00:00 01/12/2018,         7.8,      1,         7.8,      1,         0.0,      1,        -7.9,      1,        11.1,      1
00:00:00 01/01/2019,        21.8,      1,        23.2,      1,        -2.6,      1,        -8.7,      1,         6.2,      1
00:00:00 01/02/2019,       148.8,      1,       147.4,      1,         2.1,      1,        -7.2,      1,        12.8,      1
00:00:00 01/03/2019,        37.6,      1,        37.6,      1,         3.7,      1,        -5.3,      1,        15.7,      1
00:00:00 01/04/2019,       419.2,      1,       419.2,      1,         5.1,      1,        -1.2,      1,        16.0,    140
00:00:00 01/05/2019,       274.6,      1,       274.6,      1,         6.5,      1,        -2.4,      1,        18.8,      1
00:00:00 01/06/2019,        42.2,      1,        42.2,      1,        16.8,      1,         6.3,      1,        30.0,      1
00:00:00 01/07/2019,       227.6,      1,       227.0,      1,        16.0,      1,         7.3,      1,        26.2,      1
00:00:00 01/08/2019,       117.8,      1,       114.9,      1,        16.3,      1,         8.1,      1,        23.9,      1
00:00:00 01/09/2019,       171.0,      1,       174.4,      1,        11.8,      1,         3.8,      1,        21.8,      1
00:00:00 01/10/2019,       120.2,      1,       120.1,      1,         8.8,      1,         1.3,      1,        17.7,      1
00:00:00 01/11/2019,       723.2,      1,       723.3,      1,         2.7,      1,        -4.4,      1,         8.8,      1
00:00:00 01/12/2019,        99.0,      1,        99.0,      1,         0.8,      1,        -5.7,      1,         9.5,      1
00:00:00 01/01/2020,        11.4,      1,        11.4,      1,         0.9,      1,        -7.6,      1,         9.0,      1
00:00:00 01/02/2020,         5.4,      1,         7.8,      1,         1.7,      1,        -5.0,      1,        15.8,      1
00:00:00 01/03/2020,       155.0,      1,       152.5,      1,         1.7,      1,        -7.1,      1,        13.9,      1
00:00:00 01/04/2020,        47.6,      1,        45.3,      1,         7.5,      1,        -6.2,      1,        17.5,      1
00:00:00 01/05/2020,       131.6,      1,       133.9,      1,        10.0,      1,         1.5,      1,        19.3,      1
00:00:00 01/06/2020,       203.8,      1,       203.8,      1,        12.6,      1,         5.1,      1,        23.1,    140
00:00:00 01/07/2020,       179.2,      1,       174.5,      1,        15.3,      1,         7.1,      1,        26.7,      1
00:00:00 01/08/2020,       337.2,      1,       337.1,      1,        15.8,      1,         6.9,      1,        26.7,      1
00:00:00 01/09/2020,        69.2,      1,        74.1,      1,        12.3,      1,         1.0,      1,        21.3,      1
00:00:00 01/10/2020,       466.6,      1,       466.5,      1,         5.9,      1,        -2.1,      1,        16.5,      1
00:00:00 01/11/2020,         6.4,      1,         6.4,      1,         4.3,      1,        -5.1,      1,        16.5,      1
00:00:00 01/12/2020,       492.6,    140,       492.6,    140,        -1.0,      1,        -8.4,      1,         5.5,      1
00:00:00 01/01/2021,       150.0,      1,       149.8,      1,        -4.0,      1,       -11.0,      1,         7.7,      1
00:00:00 01/02/2021,        53.8,      1,        54.0,      1,         0.2,      1,       -12.9,      1,        12.0,    140
00:00:00 01/03/2021,        15.8,      1,        15.8,      1,         1.6,      1,        -9.7,      1,        17.6,      1
00:00:00 01/04/2021,       103.4,      1,       101.8,      1,         3.3,      1,        -6.9,      1,        17.6,      1
00:00:00 01/05/2021,       227.4,      1,       229.0,      1,         7.5,      1,         0.3,      1,        17.6,      1
00:00:00 01/06/2021,        83.8,      1,        82.4,      1,        15.3,      1,         5.4,      1,        24.6,      1
00:00:00 01/07/2021,       194.0,      1,       193.9,      1,        15.6,      1,         7.0,      1,        23.6,      1
00:00:00 01/08/2021,       137.4,      1,       137.9,      1,        14.4,      1,         4.7,      1,        25.3,      1
00:00:00 01/09/2021,        71.8,      1,        72.8,      1,        12.4,      1,         5.2,      1,        20.9,      1
00:00:00 01/10/2021,       128.6,      1,       128.6,      1,         6.7,      1,        -1.6,      1,        15.1,      1
00:00:00 01/11/2021,       268.8,      1,       268.8,      1,         3.5,      1,        -9.3,      1,        14.0,      1
00:00:00 01/12/2021,        27.4,      1,        27.4,      1,         0.0,      1,        -8.1,      1,        13.3,      1
00:00:00 01/01/2022,        31.2,      1,        31.2,      1,         0.3,      1,        -8.3,      1,        13.3,    140
00:00:00 01/02/2022,        63.0,      1,        63.0,      1,         0.5,      1,        -8.6,      1,        11.1,      1
00:00:00 01/03/2022,         6.8,      1,         7.9,      1,         1.6,      1,        -8.6,      1,        14.1,      1
00:00:00 01/04/2022,        97.8,      1,        96.8,      1,         4.5,      1,        -5.9,      1,        16.7,      1
00:00:00 01/05/2022,       171.2,      1,       171.0,      1,        11.6,      1,         2.7,      1,        21.7,      1
00:00:00 01/06/2022,       146.4,      1,       146.4,      1,        15.8,      1,         6.6,      1,        24.5,      1
00:00:00 01/07/2022,        98.2,      1,        98.2,      1,        17.4,      1,         8.2,      1,        26.9,      1
00:00:00 01/08/2022,       155.4,      1,       155.1,      1,        15.9,      1,         7.3,      1,        25.3,      1
00:00:00 01/09/2022,       149.2,      1,       146.6,      1,        10.7,      1,         2.1,      1,        20.4,      1
00:00:00 01/10/2022,        67.4,      1,        70.3,      1,        10.8,      1,         4.9,      1,        20.6,      1
00:00:00 01/11/2022,       140.6,    140,       140.6,    140,         3.5,      1,        -4.1,      1,        15.6,      1
00:00:00 01/12/2022,       125.4,    140,       125.4,    140,        -0.2,      1,       -12.3,      1,         7.3,      1
00:00:00 01/01/2023,        53.6,    140,        53.5,    140,        -0.9,      1,        -9.6,      1,        11.1,    140
00:00:00 01/02/2023,         0.8,      1,         0.9,      1,         1.0,      1,       -12.2,      1,        12.7,      1
00:00:00 01/03/2023,        40.0,    140,        36.0,    140,         3.4,      1,        -3.8,      1,        13.5,      1
00:00:00 01/04/2023,       115.6,    140,       119.9,    140,         4.5,      1,        -5.6,      1,        15.2,      1
00:00:00 01/05/2023,       240.8,      1,       240.3,      1,         9.5,      1,         2.2,      1,        20.0,      1
00:00:00 01/06/2023,       178.0,      1,       176.9,      1,        14.2,      1,         7.1,      1,        24.9,      1
00:00:00 01/07/2023,       125.4,    140,       126.5,    140,        16.1,      1,         6.0,      1,        25.7,      1
00:00:00 01/08/2023,       211.6,      1,       211.8,      1,        16.3,      1,         5.4,      1,        27.3,      1
00:00:00 01/09/2023,        67.2,      1,        67.1,      1,        13.9,      1,         4.0,      1,        22.6,      1
00:00:00 01/10/2023,       351.2,      1,       348.9,      1,        10.5,      1,         0.7,      1,        22.9,      1
00:00:00 01/11/2023,       154.6,      1,       163.2,      1,         2.2,      1,        -5.4,      1,        11.0,      1
00:00:00 01/12/2023,        82.6,      1,        75.7,      1,         1.4,      1,        -8.1,      1,        12.9,      1
00:00:00 01/01/2024,        85.4,      1,        86.0,      1,         0.0,      1,       -10.4,      1,        10.5,      1
00:00:00 01/02/2024,       216.2,      1,       218.9,      1,         3.4,      1,        -2.7,      1,        14.5,      1
00:00:00 01/03/2024,       248.2,      1,       266.0,      1,         3.4,      1,        -2.4,      1,        13.2,      1
00:00:00 01/04/2024,       137.0,      1,       116.5,      1,         6.6,      1,        -4.9,      1,        21.5,      1
00:00:00 01/05/2024,       515.0,      1,       504.7,      1,         9.1,      1,         1.6,      1,        17.9,      1
00:00:00 01/06/2024,       174.4,      1,       184.4,      1,        14.1,      1,         4.0,      1,        25.6,      1
00:00:00 01/07/2024,       163.6,      1,       158.3,      1,        17.2,      1,         6.9,      1,        26.0,      1
00:00:00 01/08/2024,       129.8,      1,       133.8,      1,        18.1,      1,        10.8,      1,        26.6,      1
00:00:00 01/09/2024,       307.2,      1,       308.8,      1,        11.4,      1,         1.6,      1,        24.1,      1
00:00:00 01/10/2024,       406.0,      1,       406.0,      1,         8.9,      1,         2.5,      1,        17.1,      1
00:00:00 01/11/2024,         5.6,      1,         5.6,      1,         3.6,      1,        -5.4,      1,        16.3,      1
00:00:00 01/12/2024,        30.2,      1,        30.2,      1,         1.1,      1,        -7.2,      1,        10.7,      1
00:00:00 01/01/2025,        94.6,      1,        94.4,      1,        -0.4,      1,        -7.4,      1,         8.3,    140
00:00:00 01/02/2025,        57.6,      1,        58.2,      1,         0.4,      1,        -6.1,      1,         8.8,      1
00:00:00 01/03/2025,       145.0,    145,"",    255,         3.4,    145,"",    255,"",    255
00:00:00 01/04/2025,       267.2,    145,"",    255,         7.1,    145,"",    255,"",    255
00:00:00 01/05/2025,       233.0,    145,"",    255,         9.2,    145,"",    255,"",    255
00:00:00 01/06/2025,        96.6,    145,"",    255,        16.8,    145,"",    255,"",    255
00:00:00 01/07/2025,       179.0,    145,"",    255,        15.0,    145,"",    255,"",    255
00:00:00 01/08/2025,       176.2,    145,"",    255,        15.7,    145,"",    255,"",    255
00:00:00 01/09/2025,       150.8,    145,"",    255,        12.0,    145,"",    255,"",    255
00:00:00 01/10/2025,        64.8,    145,"",    255,         6.7,    145,"",    255,"",    255
00:00:00 01/11/2025,       100.4,    145,"",    255,         2.4,    145,"",    255,"",    255
00:00:00 01/12/2025,        11.0,    145,"",    255,         2.2,    145,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255

