"Time","T0101","","T0101","","T0101","","T0101","","T0101",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/02/2022,        39.8,      1,        39.8,      1,         5.2,      1,        -5.2,      1,        16.2,      1
00:00:00 01/03/2022,         4.4,      1,        11.5,      1,         8.1,      1,        -3.9,      1,        22.9,      1
00:00:00 01/04/2022,        75.8,      1,        67.4,      1,        12.4,      1,         0.5,    140,        25.8,      1
00:00:00 01/05/2022,        77.8,      1,        79.0,      1,        19.1,      1,         7.8,      1,        31.1,      1
00:00:00 01/06/2022,       112.4,      1,       112.4,      1,        23.1,      1,        12.4,      1,        35.3,      1
00:00:00 01/07/2022,        50.8,      1,        50.8,      1,        25.5,      1,        12.0,      1,        37.5,      1
00:00:00 01/08/2022,        78.8,      1,        78.0,      1,        23.4,      1,        13.2,      1,        35.7,      1
00:00:00 01/09/2022,        85.0,      1,        84.4,      1,        17.8,      1,         5.8,      1,        30.7,      1
00:00:00 01/10/2022,        73.2,      1,        74.6,      1,        14.4,      1,         5.6,      1,        25.6,      1
00:00:00 01/11/2022,        65.0,      1,        65.0,      1,         7.2,      1,        -2.6,      1,        17.1,      1
00:00:00 01/12/2022,        74.8,      1,        74.8,      1,         2.3,      1,        -6.0,      1,        11.0,      1
00:00:00 01/01/2023,        48.2,      1,        48.2,      1,         3.4,      1,        -4.8,      1,        13.1,    140
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         5.5,      1,        -5.5,      1,        18.2,      1
00:00:00 01/03/2023,        32.8,      1,        29.7,      1,        10.4,      1,        -1.3,      1,        22.3,      1
00:00:00 01/04/2023,        86.4,      1,        89.5,      1,        12.3,      1,         0.6,      1,        24.2,      1
00:00:00 01/05/2023,       131.6,      1,       131.5,      1,        17.2,      1,         9.1,      1,        29.0,      1
00:00:00 01/06/2023,        25.0,      1,        24.7,      1,        22.4,      1,        10.9,      1,        34.6,      1
00:00:00 01/07/2023,       213.8,      1,       214.1,      1,        23.1,      1,        11.5,      1,        35.8,      1
00:00:00 01/08/2023,       126.4,      1,       126.4,      1,        23.2,      1,        11.1,      1,        35.7,      1
00:00:00 01/09/2023,        72.6,      1,        72.6,      1,        20.1,      1,         8.7,      1,        30.6,      1
00:00:00 01/10/2023,       282.4,      1,       281.3,      1,        15.0,      1,         2.8,      1,        25.8,      1
00:00:00 01/11/2023,       179.6,      1,       185.4,      1,         5.6,      1,        -4.4,      1,        17.8,      1
00:00:00 01/12/2023,       137.2,      1,       124.4,      1,         3.2,      1,        -4.7,      1,        15.5,      1
00:00:00 01/01/2024,        56.2,      1,        64.2,      1,         2.5,      1,        -6.2,      1,        16.3,      1
00:00:00 01/02/2024,       163.4,      1,       164.8,      1,         7.3,      1,        -2.7,      1,        19.2,      1
00:00:00 01/03/2024,       146.0,      1,       160.3,      1,        10.0,      1,         0.0,      1,        21.9,      1
00:00:00 01/04/2024,        61.2,      1,        45.5,      1,        13.5,      1,         1.6,      1,        28.9,      1
00:00:00 01/05/2024,       234.0,      1,       230.8,      1,        16.5,      1,         7.7,      1,        26.9,      1
00:00:00 01/06/2024,       168.6,      1,       171.8,      1,        20.7,      1,         9.9,      1,        32.3,      1
00:00:00 01/07/2024,       184.4,      1,       184.4,      1,        24.1,      1,        14.0,      1,        34.2,      1
00:00:00 01/08/2024,        49.0,      1,        49.0,      1,        24.6,      1,        16.0,      1,        35.5,      1
00:00:00 01/09/2024,       167.6,      1,       167.6,      1,        18.0,      1,         8.2,      1,        32.4,      1
00:00:00 01/10/2024,       269.6,      1,       269.6,      1,        13.6,      1,         5.6,      1,        21.8,      1
00:00:00 01/11/2024,         5.2,      1,         5.2,      1,         5.3,      1,        -5.4,      1,        19.3,      1
00:00:00 01/12/2024,        22.2,      1,        22.2,      1,         2.5,      1,        -5.8,      1,        11.4,      1
00:00:00 01/01/2025,       124.2,      1,       124.8,      1,         2.9,      1,        -6.2,      1,        14.9,      1
00:00:00 01/02/2025,        36.0,      1,        35.4,      1,         5.6,      1,        -2.8,      1,        16.4,      1
00:00:00 01/03/2025,       110.2,      1,       110.1,      1,        10.0,      1,        -1.1,      1,        23.2,      1
00:00:00 01/04/2025,        92.0,      1,        92.0,      1,        14.2,      1,         2.8,      1,        28.0,      1
00:00:00 01/05/2025,       124.4,    145,"",    255,        17.0,    145,"",    255,"",    255
00:00:00 01/06/2025,        26.2,    145,"",    255,        24.3,    145,"",    255,"",    255
00:00:00 01/07/2025,       174.8,    145,"",    255,        21.9,    145,"",    255,"",    255
00:00:00 01/08/2025,       120.2,    145,"",    255,        22.6,    145,"",    255,"",    255
00:00:00 01/09/2025,       112.6,    145,"",    255,        18.1,    145,"",    255,"",    255
00:00:00 01/10/2025,        70.2,    145,"",    255,        11.8,    145,"",    255,"",    255
00:00:00 01/11/2025,        90.6,    145,"",    255,         5.6,    145,"",    255,"",    255
00:00:00 01/12/2025,        15.8,    145,"",    255,         3.2,    145,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255

