"Time","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/01/2021,        98.6,      1,        98.6,      1,        -0.3,      1,        -8.3,      1,         8.3,      1,        79.4,      1,           1,      1,         1.5,      1,       974.9,      1,    153824.7,      1
00:00:00 01/02/2021,        57.6,      1,        57.6,      1,         5.5,      1,        -5.0,      1,        20.1,      1,        69.2,      1,         352,      1,         1.5,      1,       983.0,      1,    253071.9,      1
00:00:00 01/03/2021,         5.0,      1,         5.0,      1,         8.8,      1,        -1.4,      1,        27.6,      1,        50.7,      1,           0,      1,         2.1,      1,       982.6,      1,    515764.8,      1
00:00:00 01/04/2021,        59.0,      1,        58.4,      1,        11.3,      1,        -0.2,      1,        27.6,    140,        54.4,      1,         355,      1,         2.2,      1,       978.7,      1,    556980.8,      1
00:00:00 01/05/2021,       127.2,      1,       127.7,      1,        15.2,      1,         7.4,      1,        26.0,    140,        63.4,      1,           6,      1,         2.3,      1,       975.9,      1,    636963.5,      1
00:00:00 01/06/2021,        55.2,      1,        51.7,      1,        23.0,      1,        13.8,      1,        33.3,      1,        58.1,      1,          57,      1,         2.4,      1,       979.2,      1,    763814.7,      1
00:00:00 01/07/2021,       193.2,      1,       189.5,      1,        22.5,      1,        13.6,      1,        32.8,      1,        66.8,      1,         360,      1,         2.1,      1,       976.7,      1,    625499.2,      1
00:00:00 01/08/2021,        67.2,      1,        74.3,      1,        21.5,      1,        10.9,      1,        33.9,      1,        66.3,      1,          10,      1,         2.1,      1,       977.2,      1,    629891.3,      1
00:00:00 01/09/2021,        69.2,      1,        69.2,      1,        19.4,      1,        11.2,      1,        30.0,      1,        68.7,      1,          24,      1,         2.1,      1,       981.2,      1,    491566.3,      1
00:00:00 01/10/2021,        54.4,      1,        54.4,      1,        12.3,      1,         4.0,      1,        24.0,      1,        71.4,      1,          16,      1,         1.8,      1,       983.1,      1,    334954.1,      1
00:00:00 01/11/2021,       141.0,      1,       141.0,      1,         7.1,      1,        -2.2,      1,        15.6,      1,        82.5,      1,         352,      1,         1.5,      1,       978.0,      1,    160237.3,      1
00:00:00 01/12/2021,         7.8,      1,         7.8,      1,         2.9,      1,        -3.4,      1,        13.6,      1,        74.1,      1,           2,      1,         1.5,      1,       978.6,      1,    142769.5,      1
