"Time","T0030","","T0030","","T0030","","T0030","","T0030",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/11/2024,         4.2,      1,         4.2,      1,         4.2,      1,        -4.1,      1,        17.8,      1
00:00:00 01/12/2024,        33.2,      1,        33.2,      1,         1.4,      1,        -4.2,      1,         9.0,      1
00:00:00 01/01/2025,       108.6,      1,       108.3,      1,         1.0,      1,        -6.3,      1,         8.9,      1
00:00:00 01/02/2025,        35.2,      1,        35.0,      1,         2.8,      1,        -3.4,      1,        12.8,    140
00:00:00 01/03/2025,       127.0,    145,"",    255,         6.3,    145,"",    255,"",    255
00:00:00 01/04/2025,       145.2,    145,"",    255,        10.1,    145,"",    255,"",    255
00:00:00 01/05/2025,       198.0,    145,"",    255,        12.5,    145,"",    255,"",    255
00:00:00 01/06/2025,        87.6,    145,"",    255,        19.8,    145,"",    255,"",    255
00:00:00 01/07/2025,       145.2,    145,"",    255,        18.1,    145,"",    255,"",    255
00:00:00 01/08/2025,       132.4,    145,"",    255,        18.5,    145,"",    255,"",    255
00:00:00 01/09/2025,       125.4,    145,"",    255,        14.7,    145,"",    255,"",    255
00:00:00 01/10/2025,        58.2,    145,"",    255,         9.2,    145,"",    255,"",    255
00:00:00 01/11/2025,        96.6,    145,"",    255,         3.8,    145,"",    255,"",    255
00:00:00 01/12/2025,        15.4,    145,"",    255,         2.6,    145,"",    255,"",    255
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255

