Time,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,T0179,,
and,10,,10.5,,400,,400.55,,400.56,,430,,500,,515,,550,,750,,
Date,Pioggia (mm),,Pioggia (mm),,Temp. aria (�C),,Temp. aria (�C),,Temp. aria (�C),,Umid.relat. aria (%),,Dir. Vento (�),,Vel. Vento (m/s),,Pressione atm. (hPa),,Rad.Sol.Tot. (kJ/m2),,
,Total,Qual,Total,Qual,Mean,Qual,Min,Qual,Max,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Total,Qual,
00:00:00 01/04/2020,44,1,34.7,1,11.4,1,-2.7,1,24.4,1,66.4,145,21,1,1.3,1,954.7,1,503440.5,1,
00:00:00 01/05/2020,98.4,1,107.6,1,14.7,1,3.9,1,26.2,1,76.5,145,40,1,1.2,1,954.7,1,577085.6,1,
00:00:00 01/06/2020,141.2,1,141.2,1,17.2,1,7.2,1,29.6,1,79.4,145,29,1,1,1,950.9,1,545692.3,1,
00:00:00 01/07/2020,101,1,100.7,1,20,1,10.3,1,34.1,1,78,145,27,1,1,1,954.8,1,644484.2,1,
00:00:00 01/08/2020,277,1,277.2,1,19.5,1,8.5,1,33.8,1,83.2,145,1,1,0.9,1,953,1,517418.5,1,
00:00:00 01/09/2020,92.4,1,92.5,1,15.8,1,1.9,1,28.6,1,85.4,145,7,1,0.7,1,954.8,1,378579.2,1,
00:00:00 01/10/2020,262.6,1,262.6,1,9.2,1,-1.1,1,19.6,1,89.6,145,3,1,0.5,1,952.7,1,206823.3,1,
00:00:00 01/11/2020,4.2,1,4.2,1,4.6,1,-3.9,1,18.3,1,89.6,145,342,1,0.5,1,962.1,1,157488.7,1,
00:00:00 01/12/2020,278.8,1,278.8,1,0.2,1,-9.2,1,6.3,140,97.5,145,349,1,0.3,1,948.9,1,48791.6,1,
00:00:00 01/01/2021,143.6,1,143.6,1,-2.8,1,-12.6,1,8.5,140,93.9,145,348,1,0.4,1,948.8,1,95183.9,1,
00:00:00 01/02/2021,59.6,1,59.6,1,2.8,1,-9,1,19.2,1,84,145,352,1,0.6,1,957.2,1,193591.6,1,
00:00:00 01/03/2021,1.8,1,1.8,1,5.5,1,-4.9,1,25.6,1,66.8,145,8,1,1.1,1,957.2,1,383881.1,1,
00:00:00 01/04/2021,73,1,72.6,1,8.5,1,-5.2,1,25.6,1,66.9,145,28,1,1.3,1,953.5,1,430440.4,1,
00:00:00 01/05/2021,156.2,1,156.6,1,12.7,1,2,1,24.4,1,74.8,145,29,1,1.3,1,951.3,1,551680.7,1,
00:00:00 01/06/2021,13.4,1,12.9,1,20,1,8.8,1,32.4,1,70,145,22,1,1.2,1,955.6,1,686787,1,
00:00:00 01/07/2021,144.2,1,143.3,1,20,1,9.9,1,31.8,1,77.6,145,6,1,0.9,1,953.1,1,574290.8,1,
00:00:00 01/08/2021,98.8,1,100.1,1,18.6,1,8.1,1,31.8,1,79.9,145,10,1,0.8,1,953.7,1,550943.7,1,
00:00:00 01/09/2021,68,1,68.1,1,16.7,1,7.9,1,28.5,1,80.8,145,12,1,0.6,1,957.5,1,401267.4,1,
00:00:00 01/10/2021,72.2,1,72.2,1,9.3,1,-0.4,1,21.7,1,86.3,145,9,1,0.4,1,958.3,1,242257.7,1,
00:00:00 01/11/2021,162.4,1,162.4,1,4.6,1,-6,1,16.2,1,94.9,145,358,140,0.2,140,952.8,1,102155.6,1,
00:00:00 01/12/2021,21.4,1,21.4,1,-1.2,1,-8.2,1,11.1,140,95.6,145,347,145,0.2,145,953,1,81331.8,1,
00:00:00 01/01/2022,25,1,25,1,-0.8,1,-7.4,1,13.7,140,83.2,145,355,145,0.1,145,959.5,1,137420.7,1,
00:00:00 01/02/2022,37,1,37,1,2.2,1,-6.3,1,16.8,1,73.4,145,2,145,0.5,145,956.9,1,208324.6,1,
00:00:00 01/03/2022,3,140,6.3,140,5.4,1,-4.5,1,21.6,1,65.4,145,32,145,0.9,145,960.6,1,353476.5,1,
00:00:00 01/04/2022,77,1,73.7,1,9.6,1,-2,1,24.7,1,71.4,145,40,145,1.2,145,950.2,1,436139.9,1,
00:00:00 01/05/2022,65.8,1,65.8,1,16.2,1,4.8,1,28.6,1,78.5,145,22,145,0.9,145,955.7,1,538632.3,1,
00:00:00 01/06/2022,104.6,1,104.6,1,20.1,1,8.7,1,32.5,1,75.2,145,13,145,0.9,145,954.8,1,669159.3,1,
00:00:00 01/07/2022,62.2,1,62.2,1,22.6,1,10.3,1,36.7,1,66,145,4,145,1.2,145,956.8,1,721909.8,1,
