"Time","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/04/2019,       329.4,      1,       329.4,      1,         2.3,      1,        -3.6,      1,        12.2,    140,        84.4,    145,         355,    145,         1.4,    145,       817.3,      1,    374141.7,    145
00:00:00 01/05/2019,       177.8,      1,       177.8,      1,         4.4,      1,        -4.9,      1,        18.4,    140,        85.4,    145,           8,    145,         1.3,    145,       817.0,      1,    467678.5,    145
00:00:00 01/06/2019,       110.0,      1,       110.0,      1,        13.7,      1,         4.5,      1,        28.5,      1,        75.1,    145,           4,    145,         1.6,    145,       825.8,      1,    670030.3,    145
00:00:00 01/07/2019,       277.4,      1,       259.9,      1,        14.1,      1,         6.3,      1,        24.7,      1,        83.9,    145,           7,    145,         1.5,    145,       823.8,      1,    618964.6,    145
00:00:00 01/08/2019,       127.4,      1,       141.3,      1,        13.6,      1,         7.3,      1,        22.4,    140,        91.2,    145,         346,    145,         1.4,    145,       826.1,      1,    489564.1,    145
00:00:00 01/09/2019,       126.0,      1,       129.6,      1,         9.8,      1,         1.0,      1,        20.6,      1,        89.5,    145,         351,    145,         1.4,    145,       824.9,      1,    391356.2,    145
00:00:00 01/10/2019,       180.6,      1,       180.6,      1,         6.8,      1,        -0.9,      1,        17.6,      1,        88.8,    145,         341,    145,         1.3,    145,       822.8,      1,    231315.9,    145
00:00:00 01/11/2019,       561.6,      1,       561.6,      1,         0.2,      1,        -6.5,      1,         9.2,      1,        93.6,    145,         338,    145,         1.2,    145,       811.6,      1,     82833.5,    145
00:00:00 01/12/2019,       149.2,      1,       149.2,      1,        -0.6,      1,        -8.2,      1,         9.8,      1,        72.7,    145,         346,    145,         2.3,    145,       817.9,      1,    106919.0,    145
00:00:00 01/01/2020,        25.4,      1,        25.4,      1,        -1.5,      1,       -14.6,    140,        10.4,    140,        62.0,    145,         350,    145,         1.8,    145,       825.3,      1,    139476.4,    145
00:00:00 01/02/2020,        10.0,      1,        15.1,      1,         0.2,      1,       -10.0,    140,        13.2,    140,        58.1,    145,           2,    145,         1.8,    145,       820.1,      1,    224824.6,    145
00:00:00 01/03/2020,       153.0,      1,       147.9,      1,        -0.5,      1,       -11.9,    140,        13.8,    140,        82.3,    145,         360,    145,         1.3,    145,       817.6,      1,    300536.2,    145
00:00:00 01/04/2020,        60.0,      1,        46.6,      1,         4.3,      1,       -11.7,      1,        16.1,    140,        70.6,    145,         357,    145,         1.5,    145,       821.1,      1,    546732.3,    145
00:00:00 01/05/2020,       156.6,      1,       170.0,      1,         7.9,      1,        -0.1,      1,        19.7,      1,        82.1,    145,          27,    145,         1.4,    145,       822.4,      1,    594512.1,    145
00:00:00 01/06/2020,       203.2,      1,       203.2,      1,        10.3,      1,         3.3,      1,        21.4,      1,        88.4,    145,          12,    145,         1.3,    145,       820.3,      1,    522188.9,    145
00:00:00 01/07/2020,       147.6,      1,       147.1,      1,        13.4,      1,         6.4,      1,        25.3,      1,        88.0,    145,          23,    145,         1.4,    145,       824.7,      1,    645534.3,    145
00:00:00 01/08/2020,       385.8,      1,       386.2,      1,        13.4,      1,         5.0,      1,        25.3,      1,        89.2,    145,         347,    145,         1.5,    145,       823.4,      1,    496883.3,    145
00:00:00 01/09/2020,       103.6,      1,       103.6,      1,        10.0,      1,        -0.6,      1,        21.3,      1,        90.1,    145,         347,    145,         1.4,    145,       823.6,      1,    369598.6,    145
00:00:00 01/10/2020,       413.4,      1,       413.4,      1,         4.2,      1,        -2.5,      1,        17.2,      1,        85.7,    145,         340,    145,         1.4,    145,       819.0,      1,    212327.7,    145
00:00:00 01/11/2020,        19.2,      1,        19.2,      1,         3.5,      1,        -5.6,      1,        16.2,      1,        73.3,    145,         355,    145,         1.6,    145,       826.3,      1,    169509.8,    145
00:00:00 01/12/2020,       391.4,      1,       391.4,      1,"",    255,"",    151,"",    151,        88.6,    145,         339,    145,         1.2,    145,       812.6,      1,     61192.4,    145
00:00:00 01/01/2021,       199.2,     90,       198.9,     90,        -5.2,      1,       -15.3,    140,         6.4,      1,        74.8,    145,         346,    145,         1.6,    145,       811.4,      1,    100888.1,    145
00:00:00 01/02/2021,        74.0,      1,        74.3,      1,        -0.8,      1,       -19.5,    140,        12.5,    140,        73.3,    145,         348,    145,         1.6,    145,       820.5,      1,    212013.2,    145
00:00:00 01/03/2021,         9.4,      1,         9.4,      1,        -0.9,      1,       -12.7,      1,        14.9,    140,        62.8,    145,         352,    145,         1.6,    145,       820.9,      1,    398410.2,    145
00:00:00 01/04/2021,        92.4,      1,        90.8,      1,         0.6,      1,       -11.1,      1,        13.8,    140,        75.8,    145,           4,    145,         1.3,    145,       818.4,      1,    474182.0,    145
00:00:00 01/05/2021,       182.4,      1,       183.9,      1,         5.2,      1,        -1.8,      1,        14.9,    140,        78.5,    145,          16,    145,         1.4,    145,       818.5,      1,    546261.0,    145
00:00:00 01/06/2021,        60.0,      1,        58.6,      1,        12.8,      1,         2.7,      1,        22.6,      1,        80.6,    145,          14,    145,         1.6,    145,       825.5,      1,    633714.1,    145
00:00:00 01/07/2021,       114.8,    140,       116.5,    140,        13.1,      1,         5.6,      1,        22.0,      1,        87.5,    145,         350,    145,         1.5,    145,       823.5,      1,    554065.4,    145
00:00:00 01/08/2021,       157.2,    140,       155.9,    140,        12.2,      1,         3.5,      1,        24.8,      1,        85.9,    145,         348,    145,         1.5,    145,       823.5,      1,    510711.5,    145
00:00:00 01/09/2021,       142.8,      1,       143.8,      1,        10.1,      1,         4.1,      1,        19.7,      1,        91.0,    145,         343,    145,         1.5,    145,       826.0,      1,    383325.2,    145
00:00:00 01/10/2021,       122.4,      1,       122.8,      1,         5.0,      1,        -2.1,      1,        13.4,      1,        81.0,    145,         344,    145,         1.5,    145,       824.1,      1,    241664.6,    145
00:00:00 01/11/2021,       214.2,      1,       213.7,      1,         1.2,      1,       -10.2,      1,        12.4,    140,        85.5,    145,         342,    145,         1.4,    145,       817.7,      1,    112434.5,    145
00:00:00 01/12/2021,        36.2,      1,        36.3,      1,        -1.3,      1,        -9.3,      1,        14.7,    140,        69.4,    145,         346,    145,         1.8,    145,       816.6,      1,    108271.5,    145
00:00:00 01/01/2022,        25.8,      1,        25.8,      1,        -1.0,      1,       -11.7,      1,        14.7,    140,        54.3,    145,         344,    145,         1.9,    145,       822.3,      1,    147207.2,    145
00:00:00 01/02/2022,        38.6,      1,        38.6,      1,        -1.0,      1,       -11.8,    140,        13.8,    140,        56.0,    145,         349,    145,         1.9,    145,       820.0,      1,    217289.2,    145
00:00:00 01/03/2022,         9.0,      1,        16.1,      1,        -0.8,      1,       -11.4,      1,        12.7,      1,        69.1,    145,         360,    145,         1.6,    145,       823.5,      1,    374556.3,    145
00:00:00 01/04/2022,       117.2,      1,       109.8,      1,         2.5,      1,       -10.5,      1,        16.3,    140,        78.7,    145,          38,    145,         1.4,    145,       815.9,      1,    457795.7,    145
00:00:00 01/05/2022,       119.6,      1,       119.9,      1,         9.3,      1,         0.2,      1,        21.7,      1,        86.0,    145,          15,    145,         1.5,    145,       823.8,      1,    527553.4,    145
00:00:00 01/06/2022,        84.8,      1,        84.8,      1,        13.6,      1,         4.9,      1,        23.1,      1,        81.8,    145,           9,    145,         1.7,    145,       824.8,      1,    620983.9,    145
00:00:00 01/07/2022,       124.0,      1,       124.0,      1,        15.5,      1,         7.1,      1,        26.9,      1,        77.3,    145,           7,    145,         1.6,    145,       827.3,      1,    671751.0,    145
00:00:00 01/08/2022,       152.8,      1,       151.3,      1,        13.8,      1,         6.0,      1,        24.5,      1,        86.4,    145,         335,    145,         1.5,    145,       824.5,      1,    577059.7,    145
00:00:00 01/09/2022,       120.2,      1,       120.4,      1,         8.5,      1,         0.9,      1,        19.2,      1,        86.7,    145,         341,    145,         1.4,    145,       820.2,      1,    351268.6,    145
