"Time","T0393","","T0393","","T0393","","T0393","","T0393",""
"and","10.00","","10.50","","400.00","","400.55","","400.56",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual"
00:00:00 01/01/2022,        37.8,      1,        37.8,      1,         0.7,      1,        -8.1,      1,        14.3,      1
00:00:00 01/02/2022,        47.2,      1,        47.2,      1,         3.9,      1,        -6.7,      1,        18.0,      1
00:00:00 01/03/2022,         3.6,      1,         9.5,      1,         6.2,      1,        -5.4,      1,        22.0,      1
00:00:00 01/04/2022,        71.0,      1,        65.2,      1,        10.5,      1,        -1.3,      1,        24.4,      1
00:00:00 01/05/2022,       157.2,      1,       157.1,      1,        17.3,      1,         5.7,      1,        29.6,      1
00:00:00 01/06/2022,        46.6,      1,        46.6,      1,        21.5,      1,        11.0,      1,        33.3,      1
00:00:00 01/07/2022,        74.8,      1,        74.8,      1,        24.0,      1,        12.8,      1,        36.9,      1
00:00:00 01/08/2022,       148.6,      1,       135.6,      1,        21.7,      1,        11.7,      1,        34.4,      1
00:00:00 01/09/2022,       139.6,      1,       150.8,      1,        16.6,      1,         4.9,      1,        29.2,      1
00:00:00 01/10/2022,        60.8,      1,        62.6,      1,        14.0,      1,         4.9,      1,        25.6,      1
00:00:00 01/11/2022,        98.4,      1,        98.4,      1,         6.7,      1,        -3.6,      1,        17.4,      1
00:00:00 01/12/2022,       113.4,      1,       113.4,      1,         2.8,      1,        -4.5,      1,        11.3,      1
00:00:00 01/01/2023,        52.0,      1,        52.0,      1,         2.6,      1,        -6.8,      1,        12.3,    140
00:00:00 01/02/2023,         0.0,      1,         0.0,      1,         4.0,      1,        -7.7,      1,        17.0,      1
00:00:00 01/03/2023,        34.2,      1,        33.6,      1,         8.6,      1,        -3.5,      1,        22.4,      1
00:00:00 01/04/2023,       115.6,      1,       116.9,      1,        10.5,      1,        -0.6,      1,        21.5,      1
00:00:00 01/05/2023,       174.0,      1,       173.3,      1,        15.3,      1,         6.6,      1,        28.0,      1
00:00:00 01/06/2023,        78.4,      1,        77.6,      1,        20.0,      1,        11.0,      1,        32.8,      1
00:00:00 01/07/2023,       226.8,      1,       228.8,      1,        21.7,      1,        10.5,      1,        33.6,      1
00:00:00 01/08/2023,       150.2,      1,       148.9,      1,        21.5,      1,         8.6,      1,        35.3,      1
00:00:00 01/09/2023,       102.0,      1,       102.0,      1,        18.5,      1,         7.4,      1,        30.0,      1
00:00:00 01/10/2023,       304.2,      1,       302.9,      1,        14.4,      1,         2.7,      1,        29.0,      1
00:00:00 01/11/2023,       206.4,      1,       215.7,      1,         4.7,      1,        -4.9,      1,        18.5,    140
00:00:00 01/12/2023,       133.0,      1,       112.8,      1,         2.3,      1,        -3.7,      1,        17.1,      1
00:00:00 01/01/2024,        61.4,      1,        73.5,      1,         1.8,      1,        -6.7,      1,        14.5,    140
00:00:00 01/02/2024,       305.0,      1,       307.0,      1,         6.1,      1,        -3.3,      1,        17.4,      1
